theta,x,z
0.02,0.57,0.78
0.02,0.58,0.77
0.01,0.58,0.76
0.01,0.58,0.76
0.01,0.58,0.75
0.01,0.58,0.74
0.02,0.58,0.74
0.03,0.57,0.73
0.03,0.56,0.72
0.02,0.55,0.72
0.01,0.52,0.71
-0.01,0.5,0.71
-0.03,0.48,0.71
-0.03,0.47,0.72
-0.02,0.47,0.72
-0.01,0.47,0.72
-0.01,0.47,0.73
0,0.47,0.73
0,0.46,0.73
0,0.46,0.74
0,0.46,0.74
0,0.45,0.74
-0.01,0.45,0.75
-0.01,0.44,0.75
-0.01,0.44,0.76
-0.02,0.44,0.76
-0.02,0.44,0.77
-0.03,0.44,0.77
-0.04,0.45,0.78
-0.04,0.46,0.78
-0.02,0.48,0.79
0,0.51,0.79
0.01,0.54,0.78
0.03,0.56,0.78
0.03,0.57,0.77
0.02,0.58,0.76
0.02,0.58,0.76
0.01,0.58,0.75
0.01,0.58,0.74
0.01,0.58,0.74
0.01,0.58,0.73
0.02,0.58,0.72
0.03,0.58,0.71
0.03,0.57,0.71
0.03,0.55,0.7
0.01,0.53,0.7
-0.01,0.5,0.7
-0.03,0.48,0.7
-0.03,0.47,0.7
-0.02,0.47,0.7
-0.01,0.47,0.71
0,0.47,0.71
0,0.46,0.71
0,0.46,0.72
0,0.45,0.72
-0.01,0.45,0.73
-0.02,0.45,0.73
-0.02,0.45,0.73
-0.03,0.46,0.74
-0.03,0.48,0.74
-0.01,0.01,0.77
-0.01,-0.02,0.82
-0.02,-0.09,0.87
-0.03,-0.04,0.92
-0.1,-0.11,0.98
-0.25,-0.19,1.04
-0.4,0.01,1.1
-0.55,0.03,1.15
-0.68,0.1,1.19
-0.81,0.17,1.22
-0.89,0.17,1.22
-0.87,0.17,1.22
-0.91,0.17,1.22
-1.02,0.17,1.22
-1.12,0.17,1.22
-1.16,0.17,1.22
-1.18,0.17,1.22
-1.21,0.17,1.22
-1.27,0.17,1.22
-1.35,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
-1.37,0.17,1.22
